date,p (mbar),T (degC),Tpot (K),Tdew (degC),rh (%),VPmax (mbar),VPact (mbar),VPdef (mbar),sh (g/kg),H2OC (mmol/mol),rho (g/m**3),wv (m/s),max. wv (m/s),OT
2009/1/1 11:00,1000.87,-7.41,265.68,-8.66,90.7,3.5,3.17,0.33,1.97,3.17,1310.43,1.91,3.38,269.6
2009/1/1 11:10,1000.81,-7.48,265.62,-8.76,90.5,3.48,3.15,0.33,1.96,3.14,1310.71,1.73,3.25,247.1
2009/1/1 11:20,1000.74,-7.38,265.72,-8.64,90.6,3.5,3.17,0.33,1.98,3.17,1310.1,1.25,2.13,230.6
2009/1/1 11:30,1000.61,-7.21,265.9,-8.53,90.2,3.55,3.2,0.35,1.99,3.2,1309.08,1.41,2.25,208.2
2009/1/1 11:40,1000.5,-7.16,265.96,-8.54,89.8,3.56,3.2,0.36,1.99,3.2,1308.69,1.28,1.88,198.9
2009/1/1 11:50,1000.36,-7.03,266.1,-8.44,89.6,3.6,3.23,0.37,2.01,3.22,1307.86,1.75,3,207.5
2009/1/1 12:00,1000.3,-6.87,266.27,-8.28,89.6,3.64,3.27,0.38,2.03,3.26,1306.98,1.84,2.63,184.4
2009/1/1 12:10,1000.21,-6.77,266.38,-8.19,89.5,3.67,3.29,0.39,2.05,3.29,1306.33,2.15,2.88,202.8
2009/1/1 12:20,1000.18,-6.7,266.44,-8.09,89.8,3.69,3.32,0.38,2.06,3.32,1305.97,1.89,3.13,222.7
2009/1/1 12:30,1000.14,-6.61,266.54,-8,89.7,3.72,3.34,0.38,2.08,3.34,1305.44,2.25,3.38,237.6
2009/1/1 12:40,1000.02,-6.51,266.65,-7.93,89.5,3.75,3.36,0.39,2.09,3.36,1304.79,1.28,2.63,197.9
2009/1/1 12:50,1000.02,-6.21,266.95,-7.65,89.4,3.84,3.43,0.41,2.14,3.43,1303.28,0.33,1,202.6
2009/1/1 13:00,1000.03,-5.89,267.27,-7.46,88.6,3.93,3.48,0.45,2.17,3.48,1301.73,0.57,1.25,187.3
2009/1/1 13:10,999.97,-5.83,267.33,-7.52,87.8,3.95,3.47,0.48,2.16,3.47,1301.38,0.86,1.38,160.9
2009/1/1 13:20,999.97,-5.76,267.41,-7.46,87.7,3.97,3.48,0.49,2.17,3.48,1301,0.91,1.63,180.1
2009/1/1 13:30,1000.02,-5.9,267.26,-7.62,87.5,3.93,3.44,0.49,2.14,3.44,1301.76,1.45,2,138.1
2009/1/1 13:40,999.89,-5.97,267.2,-7.55,88.5,3.91,3.46,0.45,2.15,3.46,1301.94,1.22,1.88,161.4
2009/1/1 13:50,999.81,-5.88,267.3,-7.44,88.6,3.94,3.49,0.45,2.17,3.49,1301.37,1.43,2,146
2009/1/1 14:00,999.81,-5.94,267.24,-7.43,89.1,3.92,3.49,0.43,2.17,3.49,1301.67,1.25,2,144
2009/1/1 14:10,999.81,-5.84,267.34,-7.26,89.6,3.95,3.54,0.41,2.2,3.54,1301.17,1.01,2.13,151
2009/1/1 14:20,999.8,-5.76,267.41,-7.16,89.8,3.97,3.56,0.4,2.22,3.56,1300.77,1.19,1.88,157
2009/1/1 14:30,999.81,-5.75,267.43,-7.14,89.8,3.97,3.57,0.41,2.22,3.57,1300.69,1.25,2,145.1
2009/1/1 14:40,999.82,-5.76,267.41,-7.1,90.2,3.97,3.58,0.39,2.23,3.58,1300.77,1.35,2.25,137.7
2009/1/1 14:50,999.83,-5.73,267.45,-7.05,90.3,3.98,3.59,0.39,2.24,3.59,1300.61,1.74,2.38,142.4
2009/1/1 15:00,999.88,-5.69,267.48,-7,90.4,3.99,3.61,0.38,2.25,3.61,1300.51,1.17,1.88,134.9
2009/1/1 15:10,999.98,-5.53,267.63,-6.87,90.2,4.04,3.64,0.4,2.27,3.64,1299.83,1.33,1.75,148.6
2009/1/1 15:20,1000.06,-5.57,267.59,-6.97,89.8,4.03,3.62,0.41,2.25,3.62,1300.14,1.24,2,146.1
2009/1/1 15:30,1000.04,-5.43,267.73,-6.8,90,4.07,3.66,0.41,2.28,3.66,1299.4,0.9,1.25,155.1
2009/1/1 15:40,1000,-5.32,267.84,-6.76,89.5,4.11,3.68,0.43,2.29,3.68,1298.82,0.98,1.5,137.5
2009/1/1 15:50,999.95,-5.36,267.81,-6.84,89.2,4.09,3.65,0.44,2.28,3.65,1298.95,1.48,2.25,151.9
2009/1/1 16:00,999.94,-5.4,267.76,-6.86,89.4,4.08,3.65,0.43,2.27,3.65,1299.17,1.4,2.13,145.5
2009/1/1 16:10,1000.05,-5.31,267.85,-6.69,89.9,4.11,3.69,0.42,2.3,3.69,1298.81,1.03,1.5,127
2009/1/1 16:20,1000.05,-5.28,267.88,-6.68,89.8,4.12,3.7,0.42,2.3,3.7,1298.69,1.11,1.88,134.7
2009/1/1 16:30,1000.1,-5.32,267.83,-6.77,89.5,4.11,3.67,0.43,2.29,3.67,1298.96,1.35,2.13,132.3
2009/1/1 16:40,1000.17,-5.29,267.86,-6.7,89.7,4.12,3.69,0.42,2.3,3.69,1298.87,1.03,1.75,140.8
2009/1/1 16:50,1000.13,-5.33,267.82,-6.81,89.2,4.1,3.66,0.44,2.28,3.66,1299.04,1.08,1.5,160
2009/1/1 17:00,1000.17,-5.37,267.78,-6.82,89.4,4.09,3.66,0.43,2.28,3.66,1299.27,0.85,1.63,142.2
2009/1/1 17:10,1000.17,-5.43,267.72,-6.9,89.3,4.07,3.64,0.44,2.26,3.64,1299.6,1.27,1.88,144
2009/1/1 17:20,1000.18,-5.28,267.86,-6.68,89.8,4.12,3.7,0.42,2.3,3.7,1298.87,0.55,1.13,162.6
2009/1/1 17:30,1000.18,-5.21,267.94,-6.7,89.2,4.14,3.69,0.45,2.3,3.69,1298.51,0.53,1.38,147.2
2009/1/1 17:40,1000.17,-5.21,267.93,-6.75,88.9,4.14,3.68,0.46,2.29,3.68,1298.52,0.75,1.25,182.2
2009/1/1 17:50,1000.16,-5.24,267.91,-6.77,88.9,4.13,3.67,0.46,2.29,3.67,1298.65,0.72,1.25,150.4
2009/1/1 18:00,1000.16,-5.25,267.9,-6.75,89.1,4.13,3.68,0.45,2.29,3.68,1298.68,0.55,1,183.7
2009/1/1 18:10,1000.13,-5.16,267.99,-6.67,89.1,4.16,3.7,0.45,2.31,3.7,1298.21,0.6,1,186.9
2009/1/1 18:20,1000.07,-5.12,268.04,-6.62,89.1,4.17,3.72,0.45,2.31,3.72,1297.91,0.5,0.88,179.3
2009/1/1 18:30,1000.11,-5.04,268.12,-6.57,88.9,4.2,3.73,0.47,2.32,3.73,1297.56,0.41,0.88,152.3
2009/1/1 18:40,1000.18,-5.01,268.13,-6.58,88.7,4.2,3.73,0.47,2.32,3.73,1297.55,0.47,1,153.2
2009/1/1 18:50,1000.23,-5.12,268.02,-6.68,88.7,4.17,3.7,0.47,2.3,3.7,1298.15,0.93,1.38,148.8
2009/1/1 19:00,1000.22,-5.11,268.03,-6.57,89.4,4.17,3.73,0.44,2.32,3.73,1298.07,0.41,0.75,176.7
2009/1/1 19:10,1000.3,-4.9,268.24,-6.36,89.4,4.24,3.79,0.45,2.36,3.79,1297.1,0.35,0.88,158.1
2009/1/1 19:20,1000.19,-4.86,268.28,-6.4,88.9,4.25,3.78,0.47,2.35,3.78,1296.82,0.27,0.63,131.4
2009/1/1 19:30,1000.18,-4.9,268.25,-6.46,88.7,4.24,3.76,0.48,2.34,3.76,1296.97,0.5,0.88,149.7
2009/1/1 19:40,1000.14,-4.97,268.18,-6.53,88.7,4.22,3.74,0.48,2.33,3.74,1297.26,0.6,1,158.7
2009/1/1 19:50,1000.18,-4.99,268.16,-6.51,89,4.21,3.75,0.46,2.33,3.75,1297.41,0.55,0.88,158.4
2009/1/1 20:00,1000.22,-4.9,268.24,-6.38,89.3,4.24,3.79,0.45,2.36,3.78,1297.05,0.68,1.13,195.2
2009/1/1 20:10,1000.27,-4.93,268.21,-6.38,89.5,4.23,3.78,0.44,2.36,3.78,1297.25,0.63,1.13,206.5
2009/1/1 20:20,1000.21,-4.89,268.26,-6.29,89.8,4.24,3.81,0.43,2.37,3.81,1296.93,0.58,1,169.9
2009/1/1 20:30,1000.19,-4.93,268.21,-6.32,89.9,4.23,3.8,0.43,2.37,3.8,1297.13,1.04,1.5,156.2
2009/1/1 20:40,1000.24,-5,268.14,-6.34,90.2,4.21,3.8,0.41,2.36,3.8,1297.52,0.85,1.63,144.8
2009/1/1 20:50,1000.3,-4.9,268.24,-6.19,90.6,4.24,3.84,0.4,2.39,3.84,1297.08,0.28,0.75,146.6
2009/1/1 21:00,1000.19,-4.8,268.35,-6.14,90.2,4.27,3.85,0.42,2.4,3.85,1296.45,0.44,0.75,206.3
2009/1/1 21:10,1000.19,-4.84,268.31,-6.21,90,4.26,3.83,0.43,2.39,3.83,1296.64,0.83,1.13,168.5
2009/1/1 21:20,1000.15,-4.9,268.25,-6.25,90.2,4.24,3.82,0.42,2.38,3.82,1296.91,0.58,1,195.8
2009/1/1 21:30,1000.09,-4.86,268.29,-6.18,90.4,4.25,3.84,0.41,2.39,3.84,1296.63,0.34,0.75,212.1
2009/1/1 21:40,1000.06,-4.76,268.4,-6.06,90.5,4.29,3.88,0.41,2.42,3.88,1296.07,0.35,0.75,269.1
2009/1/1 21:50,1000.03,-4.61,268.55,-5.9,90.6,4.34,3.93,0.41,2.45,3.93,1295.29,0.33,0.75,219.7
2009/1/1 22:00,1000,-4.5,268.66,-5.82,90.4,4.37,3.95,0.42,2.46,3.95,1294.72,0.33,0.63,175.7
2009/1/1 22:10,999.92,-4.41,268.76,-5.73,90.4,4.4,3.98,0.42,2.48,3.98,1294.16,0.18,0.5,170.1
2009/1/1 22:20,999.93,-4.4,268.77,-5.77,90.1,4.4,3.97,0.44,2.47,3.97,1294.14,0.39,0.75,146.9
2009/1/1 22:30,999.87,-4.32,268.85,-5.7,90,4.43,3.99,0.44,2.48,3.99,1293.65,0.2,0.5,172.8
2009/1/1 22:40,999.8,-4.17,269,-5.6,89.7,4.48,4.02,0.46,2.5,4.02,1292.87,0.34,0.63,198.4
2009/1/1 22:50,999.77,-4.3,268.88,-5.79,89.3,4.44,3.96,0.47,2.47,3.96,1293.46,0.47,0.75,210.8
2009/1/1 23:00,999.77,-4.47,268.71,-5.84,90.1,4.38,3.95,0.43,2.46,3.95,1294.29,0.65,1,219.3
2009/1/1 23:10,999.8,-4.5,268.68,-5.71,91.2,4.37,3.99,0.38,2.48,3.99,1294.45,0.37,0.88,149.6
2009/1/1 23:20,999.81,-4.51,268.66,-5.65,91.7,4.37,4,0.36,2.5,4.01,1294.5,0.44,0.88,198.6
2009/1/1 23:30,999.8,-4.33,268.84,-5.36,92.5,4.43,4.09,0.33,2.55,4.09,1293.6,0.24,0.63,132.7
2009/1/1 23:40,999.71,-4.33,268.85,-5.43,92,4.43,4.07,0.35,2.54,4.07,1293.47,0.77,1.13,206.4
2009/1/1 23:50,999.67,-4.58,268.61,-5.62,92.4,4.34,4.01,0.33,2.5,4.02,1294.65,0.69,1.25,213.9
2009/1/2 00:00,999.59,-4.54,268.65,-5.46,93.2,4.36,4.06,0.3,2.53,4.06,1294.33,0.41,0.88,155
2009/1/2 00:10,999.55,-4.6,268.6,-5.52,93.2,4.34,4.04,0.29,2.52,4.04,1294.58,0.85,1.38,151.2
2009/1/2 00:20,999.56,-4.67,268.53,-5.52,93.7,4.32,4.04,0.27,2.52,4.05,1294.91,0.83,1.5,148.8
2009/1/2 00:30,999.56,-4.66,268.53,-5.46,94.1,4.32,4.06,0.25,2.53,4.06,1294.89,0.53,1.38,154.3
2009/1/2 00:40,999.48,-4.55,268.65,-5.31,94.4,4.35,4.11,0.24,2.56,4.11,1294.22,0.41,1.25,159.3
2009/1/2 00:50,999.44,-4.43,268.77,-5.19,94.4,4.39,4.15,0.25,2.59,4.15,1293.56,0.63,1.13,192.1
2009/1/2 01:00,999.34,-4.44,268.77,-5.19,94.4,4.39,4.15,0.25,2.58,4.15,1293.47,0.28,1,148.1
2009/1/2 01:10,999.31,-4.39,268.82,-5.14,94.5,4.41,4.16,0.24,2.6,4.17,1293.22,0.42,1.25,153.5
2009/1/2 01:20,999.21,-4.4,268.82,-5.16,94.4,4.4,4.16,0.25,2.59,4.16,1293.11,0.51,0.88,146.2
2009/1/2 01:30,999.18,-4.4,268.82,-5.13,94.6,4.4,4.17,0.24,2.6,4.17,1293.08,0.27,0.63,165.1
2009/1/2 01:40,999.08,-4.31,268.92,-5.03,94.7,4.43,4.2,0.24,2.62,4.2,1292.49,0.22,0.75,185
2009/1/2 01:50,999,-4.26,268.98,-4.99,94.6,4.45,4.21,0.24,2.63,4.21,1292.14,0.37,0.75,223.1
2009/1/2 02:00,998.93,-4.29,268.95,-5.04,94.5,4.44,4.2,0.24,2.62,4.2,1292.22,0.49,0.88,209.8
2009/1/2 02:10,998.93,-4.26,268.99,-4.99,94.6,4.45,4.21,0.24,2.63,4.22,1292.03,0.29,0.75,182.3
2009/1/2 02:20,998.82,-4.27,268.99,-5.02,94.4,4.45,4.2,0.25,2.62,4.2,1291.94,0.3,0.75,148.5
2009/1/2 02:30,998.82,-4.3,268.95,-5.04,94.5,4.44,4.19,0.24,2.62,4.2,1292.11,0.39,0.75,223.6
2009/1/2 02:40,998.78,-4.32,268.94,-5.05,94.6,4.43,4.19,0.24,2.61,4.2,1292.15,0.61,1.13,176.3
2009/1/2 02:50,998.73,-4.39,268.87,-5.12,94.6,4.41,4.17,0.24,2.6,4.18,1292.43,0.45,0.75,194
2009/1/2 03:00,998.69,-4.45,268.81,-5.15,94.8,4.39,4.16,0.23,2.59,4.16,1292.69,0.65,1,203.3
2009/1/2 03:10,998.67,-4.5,268.76,-5.17,95,4.37,4.15,0.22,2.59,4.16,1292.9,0.72,1,177.5
2009/1/2 03:20,998.58,-4.48,268.79,-5.12,95.2,4.38,4.17,0.21,2.6,4.17,1292.66,0.56,0.88,179.3
2009/1/2 03:30,998.49,-4.43,268.84,-5.07,95.3,4.39,4.19,0.21,2.61,4.19,1292.34,0.57,1,212.2
2009/1/2 03:40,998.44,-4.33,268.95,-4.94,95.5,4.43,4.23,0.2,2.64,4.23,1291.75,0.42,0.88,160.7
2009/1/2 03:50,998.39,-4.41,268.87,-5.07,95.1,4.4,4.18,0.22,2.61,4.19,1292.1,0.92,1.5,167.6
2009/1/2 04:00,998.32,-4.58,268.71,-5.22,95.2,4.34,4.14,0.21,2.58,4.14,1292.83,0.77,1.38,190.2
2009/1/2 04:10,998.29,-4.63,268.66,-5.25,95.4,4.33,4.13,0.2,2.58,4.14,1293.05,0.83,1.25,190.8
2009/1/2 04:20,998.12,-4.63,268.68,-5.23,95.5,4.33,4.13,0.19,2.58,4.14,1292.8,0.8,1.25,222
2009/1/2 04:30,997.95,-4.74,268.58,-5.33,95.6,4.29,4.1,0.19,2.56,4.11,1293.15,1.05,1.5,223.2
2009/1/2 04:40,998.03,-4.86,268.45,-5.44,95.7,4.25,4.07,0.18,2.54,4.08,1293.84,0.5,1,113.5
2009/1/2 04:50,998.08,-4.97,268.34,-5.51,95.9,4.22,4.05,0.17,2.53,4.05,1294.44,0.49,1.13,107.1
2009/1/2 05:00,998.1,-4.96,268.34,-5.5,96,4.22,4.05,0.17,2.53,4.06,1294.44,0.79,1.25,22.22
2009/1/2 05:10,998.21,-4.94,268.36,-5.48,96,4.23,4.06,0.17,2.53,4.06,1294.48,1.03,1.63,344.2
2009/1/2 05:20,998.21,-4.78,268.52,-5.27,96.3,4.28,4.12,0.16,2.57,4.13,1293.66,0.9,1.5,358.8
2009/1/2 05:30,998.13,-4.63,268.68,-5.14,96.2,4.33,4.16,0.16,2.6,4.17,1292.8,0.44,1,30.37
2009/1/2 05:40,998.02,-4.64,268.67,-5.19,95.9,4.32,4.15,0.18,2.59,4.16,1292.73,0.49,0.88,166.5
2009/1/2 05:50,997.93,-4.67,268.65,-5.21,96,4.31,4.14,0.17,2.59,4.15,1292.78,0.44,1.13,312.7
2009/1/2 06:00,998,-4.43,268.88,-4.94,96.2,4.39,4.23,0.17,2.64,4.23,1291.66,0.81,2.13,40.88
2009/1/2 06:10,998.11,-4.38,268.93,-4.93,95.9,4.41,4.23,0.18,2.64,4.24,1291.55,0.75,1.63,52.73
2009/1/2 06:20,998.15,-4.32,268.98,-4.87,95.9,4.43,4.25,0.18,2.65,4.26,1291.31,0.68,1.38,38
2009/1/2 06:30,998.21,-4.25,269.05,-4.81,95.8,4.46,4.27,0.19,2.66,4.28,1291.03,0.25,0.75,59.41
2009/1/2 06:40,998.22,-4.16,269.14,-4.75,95.6,4.48,4.29,0.2,2.68,4.3,1290.61,0.93,2,52.7
2009/1/2 06:50,998.19,-4.26,269.04,-4.88,95.4,4.45,4.25,0.2,2.65,4.25,1291.06,0.97,1.75,26.64
2009/1/2 07:00,998.17,-4.28,269.02,-4.89,95.5,4.44,4.24,0.2,2.65,4.25,1291.15,0.53,1.13,156.4
2009/1/2 07:10,998.19,-4.34,268.96,-4.98,95.3,4.42,4.21,0.21,2.63,4.22,1291.5,0.33,0.63,202.6
2009/1/2 07:20,998.2,-4.37,268.93,-5.01,95.2,4.42,4.2,0.21,2.62,4.21,1291.62,0.38,0.63,216.9
2009/1/2 07:30,998.22,-4.33,268.97,-4.97,95.2,4.43,4.22,0.21,2.63,4.22,1291.44,1.04,1.75,197.7
2009/1/2 07:40,998.17,-4.43,268.87,-5.09,95.1,4.39,4.18,0.22,2.61,4.19,1291.91,1.11,2.38,190.7
2009/1/2 07:50,998.18,-4.39,268.91,-5.05,95.1,4.41,4.19,0.22,2.62,4.2,1291.73,1.14,2.38,168
2009/1/2 08:00,998.18,-4.33,268.97,-5.04,94.8,4.43,4.2,0.23,2.62,4.2,1291.44,1.64,2.38,178.7
2009/1/2 08:10,998.11,-4.37,268.94,-5.08,94.7,4.41,4.18,0.23,2.61,4.19,1291.52,1.62,2.38,176.8
2009/1/2 08:20,998.1,-4.31,268.99,-5.03,94.7,4.43,4.2,0.23,2.62,4.21,1291.24,1.42,2.25,174.7
2009/1/2 08:30,998.15,-4.3,269,-5.06,94.4,4.44,4.19,0.25,2.61,4.2,1291.24,1.97,2.63,174.8
2009/1/2 08:40,998.29,-4.24,269.05,-5,94.4,4.46,4.21,0.25,2.63,4.22,1291.14,1.39,2,173.9
2009/1/2 08:50,998.34,-4.17,269.12,-4.97,94.1,4.48,4.22,0.26,2.63,4.23,1290.83,1.68,2.5,176.2
2009/1/2 09:00,998.35,-4.13,269.16,-4.97,93.8,4.49,4.22,0.28,2.63,4.22,1290.68,1.32,1.88,184.5
